kanji_id	Kanji	component_id	component	component_kanji_damage_url
5	子	1	一	/kanji/1-one-line-radical-%E4%B8%80
5	子	4	了	/kanji/4-total-%E4%BA%86
7	好	5	子	/kanji/5-child-%E5%AD%90
7	好	6	女	/kanji/6-woman-%E5%A5%B3
8	姦	6	女	/kanji/6-woman-%E5%A5%B3
10	品	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
11	言	1	一	/kanji/1-one-line-radical-%E4%B8%80
11	言	3	三	/kanji/3-three-%E4%B8%89
11	言	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
13	不	12	下	/kanji/12-below-%E4%B8%8B
13	不	1	一	/kanji/1-one-line-radical-%E4%B8%80
14	否	13	不	/kanji/13-un-%E4%B8%8D
14	否	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
16	古	15	十	/kanji/15-ten-%E5%8D%81
16	古	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
17	叶	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
17	叶	15	十	/kanji/15-ten-%E5%8D%81
18	計	11	言	/kanji/11-say-%E8%A8%80
18	計	15	十	/kanji/15-ten-%E5%8D%81
20	七	19	None	/kanji/19-heel
20	七	1	一	/kanji/1-one-line-radical-%E4%B8%80
21	比	19	None	/kanji/19-heel
22	叱	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
22	叱	19	None	/kanji/19-heel
23	日	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
24	旨	19	None	/kanji/19-heel
24	旨	23	日	/kanji/23-sun-day-%E6%97%A5
25	昆	23	日	/kanji/23-sun-day-%E6%97%A5
25	昆	21	比	/kanji/21-compare-%E6%AF%94
26	唱	9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3
26	唱	23	日	/kanji/23-sun-day-%E6%97%A5
27	晶	23	日	/kanji/23-sun-day-%E6%97%A5
28	旧	1	一	/kanji/1-one-line-radical-%E4%B8%80
28	旧	23	日	/kanji/23-sun-day-%E6%97%A5
29	早	23	日	/kanji/23-sun-day-%E6%97%A5
29	早	15	十	/kanji/15-ten-%E5%8D%81
30	旦	23	日	/kanji/23-sun-day-%E6%97%A5
30	旦	1	一	/kanji/1-one-line-radical-%E4%B8%80
31	白	23	日	/kanji/23-sun-day-%E6%97%A5
31	白	1767	丶	/kanji/1769-dot-%E4%B8%B6
32	皆	21	比	/kanji/21-compare-%E6%AF%94
32	皆	31	白	/kanji/31-white-%E7%99%BD
34	泉	31	白	/kanji/31-white-%E7%99%BD
34	泉	33	水	/kanji/33-water-%E6%B0%B4
