id	kanji	kanji_damage_url	ranking_most_used	hybrid_ranking
1	一	/kanji/1-one-line-radical-%E4%B8%80	2	3
2	二	/kanji/2-two-%E4%BA%8C	9	13
3	三	/kanji/3-three-%E4%B8%89	14	30
4	了	/kanji/4-total-%E4%BA%86	792	137
5	子	/kanji/5-child-%E5%AD%90	72	138
6	女	/kanji/6-woman-%E5%A5%B3	151	211
7	好	/kanji/7-like-%E5%A5%BD	423	642
8	姦	/kanji/8-rape-%E5%A7%A6		1758
9	口	/kanji/9-mouth-small-box-radical-%E5%8F%A3	284	1
10	品	/kanji/10-products-%E5%93%81	225	389
11	言	/kanji/11-say-%E8%A8%80	83	56
12	下	/kanji/12-below-%E4%B8%8B	97	195
13	不	/kanji/13-un-%E4%B8%8D	101	202
14	否	/kanji/14-no-%E5%90%A6	561	788
15	十	/kanji/15-ten-%E5%8D%81	8	21
16	古	/kanji/16-old-%E5%8F%A4	509	671
17	叶	/kanji/17-dream-come-true-%E5%8F%B6	2312	1743
18	計	/kanji/18-measure-%E8%A8%88	228	394
19	None	/kanji/19-heel		182
20	七	/kanji/20-seven-%E4%B8%83	115	229
21	比	/kanji/21-compare-%E6%AF%94	329	452
22	叱	/kanji/22-scold-%E5%8F%B1	2255	1738
23	日	/kanji/23-sun-day-%E6%97%A5	1	2
24	旨	/kanji/24-the-gist-%E6%97%A8	1166	288
25	昆	/kanji/25-insect-%E6%98%86	1688	1038
26	唱	/kanji/26-chant-%E5%94%B1	1123	1288
27	晶	/kanji/27-crystal-%E6%99%B6	1613	1608
28	旧	/kanji/28-former-%E6%97%A7	549	776
29	早	/kanji/29-early-%E6%97%A9	402	419
30	旦	/kanji/30-danna-husband-%E6%97%A6		640
31	白	/kanji/31-white-%E7%99%BD	483	207
32	皆	/kanji/32-everyone-%E7%9A%86	1267	738
33	水	/kanji/33-water-%E6%B0%B4	223	151
34	泉	/kanji/34-spring-%E6%B3%89	1086	588
35	氷	/kanji/35-ice-%E6%B0%B7	1450	1058
36	永	/kanji/36-forever-%E6%B0%B8	846	1059
37	泳	/kanji/37-swim-%E6%B3%B3	1223	1364
38	泊	/kanji/38-stay-for-the-night-%E6%B3%8A	1233	1371
39	汁	/kanji/39-juice-soup-%E6%B1%81	1843	1688
40	混	/kanji/40-mix-%E6%B7%B7	824	1039
41	月	/kanji/41-moon-organ-%E6%9C%88	23	52
42	湖	/kanji/42-big-lake-%E6%B9%96	1344	1450
43	明	/kanji/43-bright-%E6%98%8E	67	144
44	脂	/kanji/44-animal-fat-%E8%84%82	1548	1569
45	胆	/kanji/45-gall-bladder-daring-%E8%83%86	1449	1509
46	朝	/kanji/46-morning-%E6%9C%9D	248	420
47	火	/kanji/47-fire-%E7%81%AB	574	306
48	炎	/kanji/48-flame-%E7%82%8E	1242	450
49	淡	/kanji/49-faint-%E6%B7%A1	1436	1502
50	談	/kanji/50-consult-%E8%AB%87	272	451
51	丁	/kanji/51-nail-%E4%B8%81	1312	46
52	灯	/kanji/52-streetlight-%E7%81%AF	1605	1603
53	可	/kanji/55-possible-%E5%8F%AF	314	504
54	河	/kanji/53-stream-%E6%B2%B3	663	876
55	訂	/kanji/54-revise-%E8%A8%82	1690	1638
56	田	/kanji/56-rice-field-%E7%94%B0	90	93
57	町	/kanji/57-neighborhood-small-town-%E7%94%BA	292	475
58	畑	/kanji/58-cultivated-field-%E7%95%91	1176	1329
59	胃	/kanji/59-stomach-%E8%83%83	1647	1624
60	入	/kanji/60-putgo-in-%E5%85%A5	56	128
61	人	/kanji/61-person-%E4%BA%BA	5	16
62	何	/kanji/62-what-%E4%BD%95	340	535
63	信	/kanji/63-believe-%E4%BF%A1	208	368
64	化	/kanji/64-transform-%E5%8C%96	89	183
65	花	/kanji/65-flower-%E8%8A%B1	578	521
66	苦	/kanji/66-suffer-%E8%8B%A6	623	839
67	草	/kanji/67-grass-%E8%8D%89	967	1166
68	荷	/kanji/68-luggage-%E8%8D%B7	1230	1369
69	None	/kanji/69-george-michaels-moustache		31
70	内	/kanji/70-the-inside-%E5%86%85	44	107
71	肉	/kanji/71-meat-%E8%82%89	986	1183
72	円	/kanji/72-yencircle-%E5%86%86	69	147
73	市	/kanji/73-small-city-dagger-radical-%E5%B8%82	42	103
74	肺	/kanji/74-lung-%E8%82%BA	1387	1474
75	姉	/kanji/75-older-sister-%E5%A7%89	1473	1528
76	目	/kanji/76-eye-%E7%9B%AE	76	44
77	冒	/kanji/79-dare-%E5%86%92	1317	1432
78	帽	/kanji/77-hat-%E5%B8%BD	1742	1658
